X,Y,TWT auto,Zone log,Surface_BCU,Surface_Balder Fm,Surface_Balder Tuff,Surface_Base Forties,Surface_Buchan Fm,Surface_Flounder,Surface_Fulmar Fm,Surface_Heather Fm,Surface_Hegre Gr,Surface_Hirda Fm,Surface_Horda Fm,Surface_Judy Sst,Surface_Kimm Clay Fm,Surface_Lista Fm,Surface_Mackerel Fm,Surface_Maureen Fm,Surface_Mey Sst Mb,Surface_Pentland,Surface_Plenus Marl Fm,Surface_Rodby Fm,Surface_Seabed,Surface_Sele Fm,Surface_Skagerrak Fm,Surface_Smith Bank Fm,Surface_Sola Fm,Surface_Top Chalk/Ekofisk Fm,Surface_Top Forties,Surface_Top Forties Sst,Surface_Tor Fm,Surface_Valhall Fm,Surface_Zechtein,Wells
173,410641.68,6386042.28,-2832.93,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/13b-3
175,417721.23,6385533.72,-2732.56,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/14b-5
176,426909.76,6392021.43,-2726.4,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/14a-2
177,423271.28,6389777.1,-2693.17,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/14a-7
178,422230.79,6386254.73,-2674.89,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/14-1
179,432134.47,6388348.11,-2697.37,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/15-2
183,420395.68,6381543.64,-2795.59,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/14b-4
192,424542.1,6370236.45,-2850.71,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/19-2
193,420396.11,6381543.54,-2802.51,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/14b-4
194,422290.34,6379006.21,-2792.76,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/14b-3
195,422230.79,6386254.73,-2675.78,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/14-1
196,423271.3,6389777.09,-2696.96,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/14a-7
198,431451.58,6380131.66,-2832.99,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/15-1
200,414063.39,6375625.4,-2778.24,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22/13b-9
